 Nx
          22
 Ny
          22
 Nz
          79
 Escat_x Data
-0.75786015E-03 -0.19689594E-02
-0.14180376E-02 -0.26403914E-02
-0.23211937E-02 -0.35631472E-02
-0.35440580E-02 -0.48184665E-02
-0.51951211E-02 -0.65220608E-02
-0.74290813E-02 -0.88410451E-02
-0.10470052E-01 -0.12021711E-01
-0.14650080E-01 -0.16436734E-01
-0.20475669E-01 -0.22668827E-01
-0.28748115E-01 -0.31666175E-01
-0.40793141E-01 -0.45047070E-01
-0.58926083E-01 -0.65732561E-01
-0.87458192E-01 -0.99342648E-01
-0.13503069E+00 -0.15746824E+00
-0.22043409E+00 -0.26576544E+00
-0.38824320E+00 -0.48483141E+00
-0.75444183E+00 -0.96523226E+00
-0.94950118E+00 -0.11987965E+01
-0.11004983E+01 -0.13308510E+01
-0.12309177E+01 -0.14040543E+01
-0.13488437E+01 -0.14397498E+01
-0.14568650E+01 -0.14488454E+01
-0.15554446E+01 -0.14373597E+01
-0.16441793E+01 -0.14089820E+01
-0.17223058E+01 -0.13662574E+01
-0.17889141E+01 -0.13111586E+01
-0.18430338E+01 -0.12453744E+01
-0.18836575E+01 -0.11704651E+01
-0.19097173E+01 -0.10879506E+01
-0.19200123E+01 -0.99936500E+00
-0.19130566E+01 -0.90629358E+00
-0.18867794E+01 -0.81040099E+00
-0.18379165E+01 -0.71344743E+00
-0.17607232E+01 -0.61726285E+00
-0.16441319E+01 -0.52353574E+00
-0.14653535E+01 -0.43275954E+00
-0.11760950E+01 -0.33910572E+00
-0.59422671E+00 -0.17900054E+00
-0.32859831E+00 -0.10525809E+00
-0.19637869E+00 -0.66552040E-01
-0.12477171E+00 -0.44180902E-01
-0.82987972E-01 -0.30305083E-01
-0.57061118E-01 -0.21242881E-01
-0.40174082E-01 -0.15096971E-01
-0.28755650E-01 -0.10812201E-01
-0.20810988E-01 -0.77640850E-02
-0.15161727E-01 -0.55638251E-02
-0.11077939E-01 -0.39592038E-02
-0.80891234E-02 -0.27810563E-02
-0.58817946E-02 -0.19128040E-02
-0.42412596E-02 -0.12723127E-02
-0.30170878E-02 -0.80066317E-03
-0.21018566E-02 -0.45496265E-03
-0.14176358E-02 -0.20360919E-03
-0.90714419E-03 -0.23092509E-04
-0.52781788E-03  0.10421416E-03
-0.24774307E-03  0.19160697E-03
-0.42814039E-04  0.24916155E-03
 0.10528670E-03  0.28453785E-03
 0.21054508E-03  0.30357075E-03
 0.28367966E-03  0.31070819E-03
 0.33292761E-03  0.30933907E-03
 0.36463114E-03  0.30204070E-03
 0.38367853E-03  0.29076661E-03
 0.39383798E-03  0.27698995E-03
 0.39801193E-03  0.26181351E-03
 0.39843135E-03  0.24605425E-03
 0.39680444E-03  0.23030838E-03
 0.39443030E-03  0.21500152E-03
 0.39228543E-03  0.20042723E-03
 0.39108842E-03  0.18677630E-03
 0.39134749E-03  0.17415889E-03
 0.39339351E-03  0.16262084E-03
 0.00000000E+00  0.00000000E+00
 0.00000000E+00  0.00000000E+00
 0.48016263E-03 -0.12711236E-02
 0.36119995E-03 -0.14005146E-02
 0.81298910E-04 -0.16851944E-02
-0.38029195E-03 -0.21505862E-02
-0.10587736E-02 -0.28357564E-02
-0.20070835E-02 -0.37972241E-02
-0.33010719E-02 -0.51148153E-02
-0.50473937E-02 -0.69005594E-02
-0.73954939E-02 -0.93123023E-02
-0.10556002E-01 -0.12574884E-01
-0.14829520E-01 -0.17013858E-01
-0.20652861E-01 -0.23110682E-01
-0.28675668E-01 -0.31595967E-01
-0.39892059E-01 -0.43612642E-01
-0.55876424E-01 -0.61012505E-01
-0.79226784E-01 -0.86918184E-01
-0.11444947E+00 -0.12683963E+00
-0.16986753E+00 -0.19102864E+00
-0.26220756E+00 -0.29989157E+00
-0.42936227E+00 -0.49822471E+00
-0.77255851E+00 -0.90049321E+00
-0.93846701E+00 -0.10824097E+01
-0.10660443E+01 -0.11924339E+01
-0.11785233E+01 -0.12604206E+01
-0.12815616E+01 -0.12985111E+01
-0.13764415E+01 -0.13134575E+01
-0.14630811E+01 -0.13095949E+01
-0.15408777E+01 -0.12899491E+01
-0.16090078E+01 -0.12568025E+01
-0.16665540E+01 -0.12120183E+01
-0.17125574E+01 -0.11572335E+01
-0.17460281E+01 -0.10939760E+01
-0.17659225E+01 -0.10237376E+01
-0.17710846E+01 -0.94802311E+00
-0.17601330E+01 -0.86838431E+00
-0.17312636E+01 -0.78644364E+00
-0.16819019E+01 -0.70389838E+00
-0.16080664E+01 -0.62245319E+00
-0.15030267E+01 -0.54345155E+00
